epoch,train_loss,train_acc,test_loss,test_acc
82,2.4990805535888674,53.022,2.0103535969046096,63.45
83,2.5001023202514645,53.196,1.978442997872075,63.83
84,2.4900121688842773,53.457,2.0229105723055105,63.75
85,2.4961090864562987,53.299,2.039760407013229,63.69
86,2.5275709797668457,53.212,2.005627340908292,64.24
87,2.4921575967407223,53.538,2.0504771486113342,63.32
88,2.531515639190674,53.117000000000004,2.070978080170064,63.42
89,2.535267906341553,53.189,2.034144098245645,63.61
90,2.522695648498535,53.176,2.0358941223047955,63.75
91,2.53633629486084,53.013,1.970681057700628,64.31
92,2.5161832434082028,53.275999999999996,2.0211101559144034,64.02
93,2.535710868988037,53.184,2.0805921267859544,63.23
94,2.585039926147461,52.542,2.150323003153258,62.02
95,2.6384029360961914,51.758,2.004098555709742,63.77
96,2.5265383505249024,53.128,2.004890011835702,63.81
97,2.54576674911499,52.91,2.0225342014167884,63.57
98,2.5424837759399415,53.041,2.0234812996055505,64.04
99,2.5366711125183103,53.207,2.022031693518916,64.04
100,2.546471261138916,53.20399999999999,2.009902895251407,65.37
101,2.5171545706176754,54.19,1.983004962341695,65.64
102,2.511488338317871,54.224,1.973393924628632,65.75
103,2.5095750756835935,54.469,1.9901536944546276,65.54
104,2.514214842681885,54.416,1.9818203449249268,65.89
105,2.5114051379394535,54.479,1.9805561183374139,65.86
106,2.5140223794555663,54.586,1.9890011684804023,66.04
107,2.5177630200195313,54.564,2.0195004532608807,65.6
108,2.5335302049255373,54.637,1.9949863877477525,65.92
109,2.525183805847168,54.609,1.9891470278365702,66.25
110,2.5393118771362304,54.717,1.9959037892426117,65.94
111,2.524379364471436,54.712,1.9812791543670847,66.2
112,2.522290168609619,54.775,2.0011611407316185,66.2
113,2.53292149810791,54.698,2.013300249848185,65.95
114,2.54800161239624,54.757000000000005,2.000288439702384,65.85
115,2.5391285948181155,54.872,2.0090787274928035,65.94
116,2.5580214044189455,54.763,2.0066499860980844,66.18
117,2.5421171279907226,54.866,2.0014832729025733,66.19
118,2.535061105194092,54.907,1.9935306914245026,66.07
119,2.544888446807861,54.919,1.9768278131002113,66.03
120,2.5389876219177245,55.010999999999996,1.9964457750320435,66.08
121,2.547740516052246,54.971000000000004,1.999966613854034,66.3
122,2.5511954641723635,54.945,1.9874896112876603,66.32
123,2.5410587854003905,55.074,2.0052608583546894,66.19
124,2.5547748371887207,55.034,1.997048877462556,66.15
125,2.5448036621093753,55.049,2.0195785398724713,66.04
126,2.560935587310791,55.019,2.011457699763624,66.12
127,2.553782033996582,55.093,2.022760664360433,66.21
